"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","6호선","응암","11471","11336","20260304",""
"20260301","6호선","역촌","2531","2791","20260304",""
"20260301","6호선","불광","3966","3441","20260304",""
"20260301","6호선","독바위","1702","2039","20260304",""
"20260301","6호선","연신내","2","0","20260304",""
"20260301","6호선","구산","5106","3903","20260304",""
"20260301","6호선","새절(신사)","7726","7454","20260304",""
"20260301","6호선","증산(명지대앞)","6132","6142","20260304",""
"20260301","6호선","디지털미디어시티","6886","7022","20260304",""
"20260301","6호선","월드컵경기장(성산)","5165","5327","20260304",""
"20260301","6호선","마포구청","8870","7743","20260304",""
"20260301","6호선","망원","15335","16515","20260304",""
"20260301","6호선","합정","12184","11617","20260304",""
"20260301","6호선","상수","9699","10640","20260304",""
"20260301","6호선","광흥창(서강)","5292","5037","20260304",""
"20260301","6호선","대흥(서강대앞)","5202","5398","20260304",""
"20260301","6호선","공덕","9700","9371","20260304",""
"20260301","6호선","효창공원앞","5096","4744","20260304",""
"20260301","6호선","삼각지(전쟁기념관)","7232","6141","20260304",""
"20260301","6호선","녹사평(용산구청)","5074","5849","20260304",""
"20260301","6호선","이태원","13887","14597","20260304",""
"20260301","6호선","한강진","6467","8510","20260304",""
"20260301","6호선","버티고개","1364","1365","20260304",""
"20260301","6호선","약수","2191","2122","20260304",""
"20260301","6호선","청구","2373","2233","20260304",""
"20260301","6호선","신당","6425","6373","20260304",""
"20260301","6호선","동묘앞","10146","9357","20260304",""
"20260301","6호선","창신","2070","1800","20260304",""
"20260301","6호선","보문","5192","4994","20260304",""
"20260301","6호선","안암(고대병원앞)","6321","6614","20260304",""
"20260301","6호선","고려대(종암)","5122","4951","20260304",""
"20260301","6호선","월곡(동덕여대)","6548","6402","20260304",""
"20260301","6호선","상월곡(한국과학기술연구원)","4159","3566","20260304",""
"20260301","6호선","돌곶이","7794","7202","20260304",""
"20260301","6호선","석계","7765","8111","20260304",""
"20260301","6호선","태릉입구","4240","4285","20260304",""
"20260301","6호선","화랑대(서울여대입구)","6248","5546","20260304",""
"20260301","6호선","봉화산(서울의료원)","4629","4588","20260304",""
"20260301","7호선","장암","1644","1209","20260304",""
"20260301","7호선","도봉산","5743","7915","20260304",""
"20260301","7호선","수락산","9348","9218","20260304",""
"20260301","7호선","마들","7488","6828","20260304",""
"20260301","7호선","노원","13438","14094","20260304",""
"20260301","7호선","중계","9001","8369","20260304",""
"20260301","7호선","하계","11257","10242","20260304",""
"20260301","7호선","공릉(서울과학기술대)","8456","8384","20260304",""
"20260301","7호선","태릉입구","5770","5324","20260304",""
"20260301","7호선","먹골","6623","6528","20260304",""
"20260301","7호선","중화","7065","6692","20260304",""
"20260301","7호선","상봉","12637","12082","20260304",""
"20260301","7호선","면목","9180","8755","20260304",""
"20260301","7호선","사가정","10736","10634","20260304",""
"20260301","7호선","용마산(용마폭포공원)","3830","4306","20260304",""
"20260301","7호선","중곡","6577","6043","20260304",""
"20260301","7호선","군자(능동)","10601","7853","20260304",""
"20260301","7호선","어린이대공원(세종대)","11527","11394","20260304",""
"20260301","7호선","건대입구","10811","11717","20260304",""
"20260301","7호선","자양(뚝섬한강공원)","12556","12570","20260304",""
"20260301","7호선","청담","7593","8330","20260304",""
"20260301","7호선","강남구청","6014","6708","20260304",""
"20260301","7호선","학동","7692","8080","20260304",""
"20260301","7호선","논현","7101","7722","20260304",""
"20260301","7호선","반포","4151","4085","20260304",""
"20260301","7호선","고속터미널","14088","10562","20260304",""
"20260301","7호선","내방","6619","6510","20260304",""
"20260301","7호선","이수","10584","10234","20260304",""
"20260301","7호선","남성","6686","6400","20260304",""
"20260301","7호선","숭실대입구(살피재)","7902","7118","20260304",""
"20260301","7호선","상도","6869","6612","20260304",""
"20260301","7호선","장승배기","5057","4859","20260304",""
"20260301","7호선","신대방삼거리","9128","8727","20260304",""
"20260301","7호선","보라매","4053","3987","20260304",""
"20260301","7호선","신풍","7371","6946","20260304",""
"20260301","7호선","대림(구로구청)","9123","8796","20260304",""
"20260301","7호선","남구로","7165","7174","20260304",""
"20260301","7호선","가산디지털단지","12128","11162","20260304",""
"20260301","7호선","철산","12965","13062","20260304",""
"20260301","7호선","광명사거리","15244","15112","20260304",""
"20260301","7호선","천왕","6370","6038","20260304",""
"20260301","7호선","온수(성공회대입구)","4882","4703","20260304",""
"20260301","8호선","암사역사공원","3843","3517","20260304",""
"20260301","8호선","암사","9876","9286","20260304",""
"20260301","8호선","천호(풍납토성)","12846","14926","20260304",""
"20260301","8호선","강동구청","5822","5574","20260304",""
"20260301","8호선","몽촌토성(평화의문)","5425","5528","20260304",""
"20260301","8호선","잠실(송파구청)","18454","20792","20260304",""
"20260301","8호선","석촌","6166","7546","20260304",""
"20260301","8호선","송파","5632","5653","20260304",""
"20260301","8호선","가락시장","4085","5235","20260304",""
"20260301","8호선","문정","8442","8403","20260304",""
"20260301","8호선","장지","10882","10242","20260304",""
"20260301","8호선","복정","5915","5403","20260304",""
"20260301","8호선","산성","3849","4079","20260304",""
"20260301","8호선","남한산성입구(성남법원.검찰청)","7603","6653","20260304",""
"20260301","8호선","단대오거리","7009","6560","20260304",""
"20260301","8호선","신흥","3852","3991","20260304",""
"20260301","8호선","수진","4063","3590","20260304",""
"20260301","8호선","모란","3460","2957","20260304",""
"20260301","8호선","남위례","4673","4406","20260304",""
"20260301","9호선","개화","1393","1220","20260304",""
"20260301","9호선","김포공항","5550","11313","20260304",""
"20260301","9호선","공항시장","1854","1952","20260304",""
"20260301","9호선","신방화","4333","4223","20260304",""
"20260301","9호선","마곡나루(서울식물원)","9116","8817","20260304",""
"20260301","9호선","양천향교","5179","5141","20260304",""
"20260301","9호선","가양","13254","12852","20260304",""
"20260301","9호선","증미","3255","3048","20260304",""
"20260301","9호선","등촌","6565","6394","20260304",""
"20260301","9호선","염창","10904","10269","20260304",""
"20260301","9호선","신목동","2235","1969","20260304",""
"20260301","9호선","선유도","3847","3730","20260304",""
"20260301","9호선","당산","11179","10801","20260304",""
"20260301","9호선","국회의사당","6599","6256","20260304",""
"20260301","9호선","여의도","12895","11867","20260304",""
"20260301","9호선","샛강","2454","2147","20260304",""
"20260301","9호선","노량진","17904","18428","20260304",""
"20260301","9호선","노들","3233","2712","20260304",""
"20260301","9호선","흑석(중앙대입구)","4592","4782","20260304",""
"20260301","9호선","동작(현충원)","1716","1662","20260304",""
"20260301","9호선","구반포","433","421","20260304",""
"20260301","9호선","신반포","3020","2990","20260304",""
"20260301","9호선","고속터미널","13657","20792","20260304",""
"20260301","9호선","사평","2272","2303","20260304",""
"20260301","9호선","신논현","19886","20341","20260304",""
"20260301","9호선2~3단계","언주","4530","4469","20260304",""
"20260301","9호선2~3단계","선정릉","3831","4432","20260304",""
"20260301","9호선2~3단계","삼성중앙","2710","2651","20260304",""
"20260301","9호선2~3단계","봉은사","17969","20105","20260304",""
"20260301","9호선2~3단계","종합운동장","3095","2891","20260304",""
"20260301","9호선2~3단계","삼전","5001","4597","20260304",""
"20260301","9호선2~3단계","석촌고분","4564","4474","20260304",""
"20260301","9호선2~3단계","석촌","6888","6040","20260304",""
"20260301","9호선2~3단계","송파나루","4291","4588","20260304",""
